experiment,category,condition,accuracy,eer,precision,recall,f1_score,auc,latency_seconds,embed_seconds
Buffalo-S (Baseline),Alignment,With Alignment,0.9788333333333333,0.034666666666666665,0.9968868903493601,0.9606666666666667,0.9784416907146494,0.985172444444456,2441.836043366002,2439.322634649001
Buffalo-S (No Alignment),Alignment,Without Alignment,0.8358333333333333,0.16833333333333333,0.8591800356506238,0.8033333333333333,0.830318690783807,0.905279777777775,110.73921292000159,108.01583144899996
Buffalo-S (Resolution 56x56),Resolution,56x56,0.9603333333333334,0.047,0.9818562456385206,0.938,0.9594272076372315,0.9804934444444355,2395.049475693002,2392.341579557
Buffalo-S (Resolution 28x28),Resolution,28x28,0.7526666666666667,0.264,0.8345101500441306,0.6303333333333334,0.7181921762248387,0.8125806666666656,1647.6754193359993,1645.0285504999993
Buffalo-L (Baseline),Model Size,buffalo_l,0.9886666666666667,0.019,0.9993188010899182,0.978,0.9885444743935309,0.9910764444444539,6675.712406711002,6672.1239451790025
Buffalo-L (No Alignment),Model Size & Alignment,buffalo_l-no-align,0.9188333333333333,0.08433333333333333,0.9355285961871751,0.8996666666666666,0.9172472387425659,0.9719065555555567,1277.5028123890006,1275.0213073560008
FaceNet (Baseline),Architecture,InceptionResnetV1,0.9593333333333334,0.042,0.9671186440677966,0.951,0.9589915966386553,0.9891664444444461,542.3278922249956,539.7845507320017
Eigenfaces PCA (Classical),Classical Baseline,PCA,0.616,0.388,0.6847133757961783,0.43000000000000005,0.5282555282555284,0.6615346666666668,15.521023695000622,6.939048569998704
LBP Histogram (Classical),Classical Baseline,Local Binary Patterns,0.5531666666666667,0.4623333333333333,0.5846153846153846,0.3673333333333333,0.4511770726714432,0.565398444444443,36.15924133199587,33.838295658999414
DCT Low-Frequency (Classical),Classical Baseline,Discrete Cosine Transform,0.5983333333333334,0.41333333333333333,0.6306465899025686,0.4746666666666667,0.5416508178014453,0.6207287777777779,3.326399544996093,0.9365311360015767
Self-Trained Siamese CNN,Architecture,Siamese CNN,0.5661666666666667,0.44066666666666665,0.591096833409821,0.42933333333333334,0.49739331917358565,0.5871924999999995,26.45445289399504,23.97565770199435
